1888    1 .                               
1888    2 .                               
1888    3 2.73000                         
1888    4 2.75000                         
1888    5 2.77000                         
1888    6 2.76000                         
1888    7 2.76000                         
1888    8 2.77000                         
1888    9 2.81000                         
1888   10 2.83000                         
1888   11 2.84000                         
1888   12 2.85000                         
1889    1 2.78000                         
1889    2 2.78000                         
1889    3 2.81000                         
1889    4 2.79000                         
1889    5 2.78000                         
1889    6 2.80000                         
1889    7 2.79000                         
1889    8 2.80000                         
1889    9 2.84000                         
1889   10 2.84000                         
1889   11 2.84000                         
1889   12 2.83000                         
1890    1 2.83000                         
1890    2 2.82000                         
1890    3 2.83000                         
1890    4 2.81000                         
1890    5 2.80000                         
1890    6 2.83000                         
1890    7 2.86000                         
1890    8 2.86000                         
1890    9 2.88000                         
1890   10 2.91000                         
1890   11 2.91000                         
1890   12 2.88000                         
1891    1 2.84000                         
1891    2 2.83000                         
1891    3 2.82000                         
1891    4 2.86000                         
1891    5 2.89000                         
1891    6 2.89000                         
1891    7 2.87000                         
1891    8 2.86000                         
1891    9 2.90000                         
1891   10 2.90000                         
1891   11 2.90000                         
1891   12 2.89000                         
1892    1 2.87000                         
1892    2 2.87000                         
1892    3 2.87000                         
1892    4 2.86000                         
1892    5 2.82000                         
1892    6 2.84000                         
1892    7 2.84000                         
1892    8 2.83000                         
1892    9 2.84000                         
1892   10 2.84000                         
1892   11 2.83000                         
1892   12 2.82000                         
1893    1 2.80000                         
1893    2 2.78000                         
1893    3 2.80000                         
1893    4 2.78000                         
1893    5 2.79000                         
1893    6 2.78000                         
1893    7 2.78000                         
1893    8 2.81000                         
1893    9 2.78000                         
1893   10 2.80000                         
1893   11 2.80000                         
1893   12 2.80000                         
1894    1 2.78000                         
1894    2 2.76000                         
1894    3 2.76000                         
1894    4 2.75000                         
1894    5 2.74000                         
1894    6 2.72000                         
1894    7 2.71000                         
1894    8 2.69000                         
1894    9 2.69000                         
1894   10 2.71000                         
1894   11 2.68000                         
1894   12 2.67000                         
1895    1 2.63000                         
1895    2 2.64000                         
1895    3 2.63000                         
1895    4 2.62000                         
1895    5 2.60000                         
1895    6 2.58000                         
1895    7 2.56000                         
1895    8 2.56000                         
1895    9 2.55000                         
1895   10 2.56000                         
1895   11 2.58000                         
1895   12 2.58000                         
1896    1 2.57000                         
1896    2 2.53000                         
1896    3 2.51000                         
1896    4 2.47000                         
1896    5 2.45000                         
1896    6 2.43000                         
1896    7 2.42000                         
1896    8 2.43000                         
1896    9 2.48000                         
1896   10 2.53000                         
1896   11 2.49000                         
1896   12 2.47000                         
1897    1 2.46000                         
1897    2 2.44000                         
